Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,316.5,318.04998779296875,311.9440002441406,313.86199951171875,174.32711791992188,710072.0
2012-06-19,312.5,313.2120056152344,307.0379943847656,309.8190002441406,172.0814971923828,679992.0
2012-06-20,310.0,310.6000061035156,306.86199951171875,308.83099365234375,171.53277587890625,563008.0
2012-06-21,306.875,312.6809997558594,305.2879943847656,311.5249938964844,173.02908325195312,457992.0
2012-06-22,306.125,310.531005859375,305.375,309.38800048828125,171.8421630859375,1230912.0
2012-06-25,310.5,311.1809997558594,307.375,308.54400634765625,171.3733673095703,1525112.0
2012-06-26,306.875,307.0,303.9129943847656,305.31201171875,169.57823181152344,638704.0
2012-06-27,306.3810119628906,309.25,305.2560119628906,308.5690002441406,171.3872528076172,393648.0
2012-06-28,309.375,312.0060119628906,306.42498779296875,309.0870056152344,171.67495727539062,1437440.0
2012-06-29,311.26300048828125,314.375,309.375,312.8190002441406,173.747802734375,462144.0
2012-07-02,312.125,314.875,311.3810119628906,312.63800048828125,173.64727783203125,378384.0
2012-07-03,313.75,314.0,309.625,311.968994140625,173.27569580078125,397440.0
2012-07-04,312.0,313.0379943847656,308.75,309.9129943847656,172.13372802734375,609984.0
2012-07-05,310.0,310.8940124511719,308.125,310.0249938964844,172.19595336914062,1009608.0
2012-07-06,311.125,311.125,304.88800048828125,305.4809875488281,169.6720733642578,576264.0
2012-07-09,303.75,308.625,300.375,304.6000061035156,169.18276977539062,475232.0
2012-07-10,306.25,307.75,304.5,307.38800048828125,170.7312774658203,386480.0
2012-07-11,306.23699951171875,312.92498779296875,305.5,308.29400634765625,171.23451232910156,1071184.0
2012-07-12,283.75,285.0,277.0060119628906,283.156005859375,157.272216796875,9952032.0
2012-07-13,279.9620056152344,282.32501220703125,277.51300048828125,278.4750061035156,154.67227172851562,2603192.0
2012-07-16,279.875,280.2560119628906,270.5,271.57501220703125,150.83981323242188,2808040.0
2012-07-17,273.125,274.7120056152344,270.375,271.3559875488281,150.71817016601562,2063072.0
2012-07-18,271.625,273.6629943847656,270.43798828125,271.9750061035156,151.06199645996094,780944.0
2012-07-19,275.0,281.06201171875,274.375,280.3559875488281,155.7169952392578,1454384.0
2012-07-20,280.625,280.625,275.7439880371094,277.20001220703125,153.964111328125,694736.0
2012-07-23,275.0,276.25,272.625,273.2690124511719,151.78073120117188,669176.0
2012-07-24,274.9750061035156,276.375,270.7879943847656,271.16900634765625,150.61431884765625,551208.0
2012-07-25,271.875,272.48699951171875,268.75,270.9750061035156,150.506591796875,910336.0
2012-07-26,270.875,270.875,262.70599365234375,265.625,147.53504943847656,1385896.0
2012-07-27,270.13800048828125,270.6000061035156,263.8940124511719,268.6059875488281,149.1907501220703,693312.0
2012-07-30,269.406005859375,276.875,269.406005859375,276.1809997558594,153.3981475830078,668504.0
2012-07-31,276.25,279.0379943847656,273.13800048828125,278.42498779296875,154.6444854736328,690920.0
2012-08-01,278.625,278.9809875488281,275.25,277.3810119628906,154.0646514892578,412256.0
2012-08-02,276.875,278.5,274.625,275.7309875488281,153.14816284179688,252880.0
