Date,High,Close,Low,Open,returns,exp_O,RSI3,RSI10,WillR,MACD,MACDSIGNAL,PLUS_DI,PLUS_DM,ADX,TRIX
2009-03-06,1182.0,1170.55,1118.05,1121.0,0.12512690355329958,1293.0,93.7536099839839,70.71416844680039,-70.80088987764181,-18.699784364836432,1.0613922916947214,10.415316560145191,60.0598777022925,17.231533934726922,-0.038214935218838786
2009-03-09,1164.0,1153.85,1140.0,1159.45,0.1527061855670102,1324.95,95.09900619956714,73.15877013714037,-80.08898776418245,-23.314290931180267,-3.813744352880277,9.83630312647533,54.05388993206326,18.40795057269316,-0.08781671542772429
2009-03-12,1212.75,1201.95,1170.0,1170.0,0.12133580705009295,1320.05,69.54258675129604,66.17719819653631,-53.33704115684087,-22.826918116421894,-7.6163791055886,17.597437828489106,97.39850093885693,18.425957763528892,-0.1286078136892188
2009-03-13,1294.9,1282.35,1212.0,1225.05,0.04564059000695031,1339.95,35.25308815540913,52.694958142561745,-8.620689655172416,-15.771262285868488,-9.247355741644578,28.72839199693706,169.80865084497134,17.36231026415263,-0.1492267192514718
2009-03-16,1329.9,1326.6,1273.55,1293.0,0.014211594856756049,1334.95,26.970696374512706,48.167758332936984,-1.557705924002917,-6.533682791436604,-8.704621151602982,31.92586953788067,187.8277857604742,16.858703492575426,-0.14833758623232773
2009-03-17,1341.75,1300.35,1292.85,1324.95,0.08056642444568651,1350.0,58.12617954573187,56.86180722961992,-18.50692892266432,-1.315822130084598,-7.226861347299305,31.275489080938502,180.89500718442667,16.548398142168043,-0.13674991545890025
2009-03-18,1359.9,1331.3,1312.0,1320.05,0.0831311125818075,1450.0,59.13687926703082,57.17032937052233,-11.82551168079393,5.256186332571133,-4.730251811325218,31.19368400113533,180.9555064659841,16.50327884457123,-0.11341291191285796
2009-03-19,1354.0,1344.65,1320.05,1339.95,0.14401772525849332,1440.0,78.02495796549309,63.967965524978034,-6.305561298325405,11.410253517471574,-1.5021507455658591,29.28910811482346,162.85995581938568,16.46116750014754,-0.08087553167064332
2009-03-20,1348.8,1338.55,1321.0,1334.95,0.16770462633451966,1549.8,82.69317760647972,66.28124764267666,-8.827785817655624,15.615175060997672,1.9213144157468474,27.74768833113325,146.5739602374471,16.42186357868543,-0.04432495441950568
2009-03-23,1449.85,1439.8,1350.0,1350.0,0.09114736007173163,1564.95,40.737755529790334,53.86286755016238,-3.028933092224218,26.80860162574345,6.898771857746167,39.706964904951604,232.96656421370233,17.632668944860473,0.009060426542562006
2009-03-24,1472.95,1451.65,1442.25,1450.0,0.04277130927730055,1531.8,27.508805004101816,47.60115344314361,-6.397356960504566,36.21816828899705,12.762651143996344,41.477681663446305,232.76990779233222,18.988063557890666,0.07321218739535507
2009-03-25,1549.0,1533.4,1435.05,1440.0,0.0021949644932215406,1530.05,19.52965492265474,42.94800642093828,-4.116094986807364,49.698960765460924,20.14991306828926,46.12793584842635,285.542917013099,20.89060978379833,0.15417474109820084
2009-03-26,1575.0,1566.55,1522.15,1549.8,0.008825396825396847,1530.25,24.87102371020324,43.94292186229608,-2.327823691460068,62.33890973402413,28.587712401436235,46.39374925700803,282.98862531178906,22.853287033193688,0.24746910350768037
2009-03-27,1582.0,1548.0,1535.5,1564.95,0.06118836915297088,1644.0,57.94165914209918,51.38249397139336,-11.022856216566703,70.05181664974725,36.88053325109844,43.94644073843291,261.6897627806102,24.735394448792942,0.34126507862524136
2009-03-30,1535.95,1515.7,1494.1,1531.8,0.1185259936846903,1710.0,75.59013277082468,58.14138240573992,-22.92927546256266,72.71974296092935,44.04837519306462,39.93049426941122,235.52078650254916,25.6080126058771,0.425276220059434
2009-03-31,1552.4,1523.2,1514.7,1530.05,0.11955681525380046,1638.0,75.86326229294363,58.25730401123966,-21.77777777777776,74.57957419663103,50.154614993777905,40.1760694931551,228.4187078522943,26.57175433460193,0.49901213868772665
2009-04-01,1588.9,1579.45,1497.55,1530.25,0.1108313927874629,1744.5,66.42619923526011,56.778456000423475,-3.5149711735168463,79.67397674088011,56.058487343198344,40.14276497620322,242.07683706706487,27.786407244877353,0.5698479365551901
2009-04-02,1678.8,1662.5,1602.15,1644.0,0.06436144865380022,1752.0,33.317019124925125,49.36329660280963,-4.55561766349915,89.38242344374339,62.723274563307356,47.93271510930775,307.76915336035825,29.554189022065053,0.6465746876278766
2009-04-06,1718.0,1672.25,1649.9,1710.0,0.06810244470314308,1731.3,37.10272781202877,49.94799377361772,-12.432065217391305,96.74793099221188,69.52820584908827,48.947893490537595,316.1922380243225,31.431059040819264,0.7233535328015295
2009-04-08,1738.0,1724.05,1605.1,1638.0,0.06098964326812428,1840.05,31.932498751779264,48.758594490442356,-4.604720250866494,105.54828099751103,76.73222087877282,39.84056908419875,284.5730142218902,32.303941077970386,0.8023540211829827
