Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-May-2017,83.00,84.45,82.80,83.50,83.618987693676328860,539560,1916,45117461.00,166689,30.89,1.65,0.50
3-May-2017,83.65,83.80,82.65,82.90,83.118312944765516277,658212,2286,54709471.00,258820,39.32,1.15,-0.75
2-May-2017,86.00,86.00,83.00,83.60,84.041112606823754628,1311155,3956,110190925.00,321195,24.50,3.00,-2.40
28-April-2017,86.90,87.10,85.00,85.45,85.970113704129317128,850189,2408,73090845.00,392183,46.13,2.10,-1.45
27-April-2017,88.10,88.10,86.55,86.70,86.988223333585915991,475092,1582,41327409.00,169343,35.64,1.55,-1.40
26-April-2017,88.90,88.90,86.20,87.65,88.012108853338357447,902315,3014,79414646.00,317264,35.16,2.70,-1.25
25-April-2017,87.65,88.45,87.25,88.10,88.016494623687370821,1367294,4888,120344425.00,563764,41.23,1.20,0.45
24-April-2017,85.90,87.60,85.70,87.20,86.867777885132990103,1811225,5238,157337091.00,693120,38.27,1.90,1.30
21-April-2017,82.50,85.55,81.90,85.20,84.340418439786919525,2712027,7265,228733492.00,862490,31.80,3.65,2.70
20-April-2017,81.70,82.35,81.40,81.90,81.903420483861900091,1280696,3194,104893383.00,504029,39.36,0.95,0.20
19-April-2017,81.90,82.35,81.00,81.25,81.661328767463917672,1407545,3720,114941995.00,511411,36.33,1.35,-0.65
18-April-2017,83.00,83.30,81.15,81.60,82.483734546198077968,1002585,3206,82696955.00,431528,43.04,2.15,-1.40
17-April-2017,82.95,83.45,82.40,82.75,82.806120015518941294,561894,2418,46528262.00,192380,34.24,1.05,-0.20
13-April-2017,82.80,83.70,82.50,82.70,83.164490804484012117,1142459,3095,95012021.00,717017,62.76,1.20,-0.10
12-April-2017,82.35,83.90,82.25,82.50,82.685391676788572656,5491390,5364,454057733.00,4306065,78.41,1.65,0.15
11-April-2017,82.90,83.60,82.15,82.40,82.671888341992703853,1023554,4031,84619142.00,404817,39.55,1.45,-0.50
10-April-2017,83.65,84.30,82.10,82.60,82.838593035397544104,1315854,5273,109003494.00,514417,39.09,2.20,-1.05
7-April-2017,84.30,84.95,83.25,83.60,84.210864803566712752,2639293,2771,222257146.00,2104776,79.75,1.70,-0.70
6-April-2017,84.75,84.90,84.10,84.40,84.367576711044111589,570485,1928,48130437.00,191164,33.51,0.80,-0.35
5-April-2017,85.15,85.95,84.80,84.95,85.105058692644007301,833239,2822,70912854.00,384007,46.09,1.15,-0.20
3-April-2017,85.00,85.60,83.85,84.10,84.720805391609841069,955262,4040,80930566.00,410463,42.97,1.75,-0.90
31-March-2017,83.90,84.95,83.05,84.55,84.089428738683377887,961749,3517,80872924.00,366183,38.07,1.90,0.65
30-March-2017,83.10,84.90,82.90,83.25,83.858191171963887548,1135564,5218,95226343.00,429231,37.80,2.00,0.15
